,edge_list
0,"V0,V2"
1,"V0,V3"
2,"V0,V4"
3,"V0,V8"
4,"V0,V10"
5,"V0,V11"
6,"V0,V13"
7,"V0,V14"
8,"V0,V17"
9,"V0,V20"
10,"V0,V24"
11,"V0,V36"
12,"V0,V40"
13,"V0,V51"
14,"V0,V129"
15,"V0,V131"
16,"V0,V133"
17,"V0,V138"
18,"V0,V75"
19,"V0,V77"
20,"V0,V82"
21,"V0,V88"
22,"V0,V89"
23,"V0,V91"
24,"V0,V97"
25,"V0,V103"
26,"V0,V108"
27,"V0,V113"
28,"V0,V119"
29,"V1,V4"
30,"V1,V5"
31,"V1,V19"
32,"V1,V20"
33,"V1,V21"
34,"V1,V22"
35,"V1,V23"
36,"V1,V24"
37,"V1,V39"
38,"V1,V129"
39,"V1,V133"
40,"V1,V134"
41,"V1,V136"
42,"V1,V137"
43,"V1,V140"
44,"V1,V146"
45,"V1,V149"
46,"V1,V109"
47,"V1,V115"
48,"V1,V119"
49,"V1,V122"
50,"V1,V124"
51,"V2,V3"
52,"V2,V7"
53,"V2,V8"
54,"V2,V12"
55,"V2,V14"
56,"V2,V22"
57,"V2,V23"
58,"V2,V30"
59,"V2,V53"
60,"V2,V56"
61,"V2,V61"
62,"V2,V64"
63,"V2,V67"
64,"V2,V128"
65,"V2,V132"
66,"V2,V139"
67,"V2,V143"
68,"V2,V144"
69,"V2,V146"
70,"V2,V79"
71,"V2,V91"
72,"V2,V94"
73,"V2,V97"
74,"V2,V102"
75,"V2,V103"
76,"V2,V105"
77,"V2,V107"
78,"V2,V114"
79,"V2,V122"
80,"V3,V4"
81,"V3,V5"
82,"V3,V13"
83,"V3,V14"
84,"V3,V16"
85,"V3,V20"
86,"V3,V23"
87,"V3,V24"
88,"V3,V48"
89,"V3,V139"
90,"V3,V146"
91,"V3,V75"
92,"V3,V76"
93,"V3,V88"
94,"V3,V92"
95,"V3,V95"
96,"V3,V103"
97,"V3,V105"
98,"V3,V109"
99,"V3,V116"
100,"V3,V118"
101,"V4,V5"
102,"V4,V9"
103,"V4,V15"
104,"V4,V19"
105,"V4,V21"
106,"V4,V26"
107,"V4,V71"
108,"V4,V142"
109,"V4,V144"
110,"V4,V146"
111,"V4,V82"
112,"V4,V86"
113,"V4,V94"
114,"V4,V95"
115,"V4,V98"
116,"V4,V112"
117,"V4,V119"
118,"V4,V120"
119,"V4,V124"
120,"V4,V125"
121,"V4,V127"
122,"V5,V7"
123,"V5,V9"
124,"V5,V12"
125,"V5,V15"
126,"V5,V20"
127,"V5,V22"
128,"V5,V26"
129,"V5,V29"
130,"V5,V47"
131,"V5,V57"
132,"V5,V128"
133,"V5,V131"
134,"V5,V132"
135,"V5,V133"
136,"V5,V136"
137,"V5,V138"
138,"V5,V142"
139,"V5,V143"
140,"V5,V146"
141,"V5,V147"
142,"V5,V149"
143,"V5,V78"
144,"V5,V85"
145,"V5,V92"
146,"V5,V95"
147,"V5,V97"
148,"V5,V100"
149,"V5,V103"
150,"V5,V109"
151,"V5,V121"
152,"V5,V127"
153,"V6,V9"
154,"V6,V12"
155,"V6,V14"
156,"V6,V17"
157,"V6,V20"
158,"V6,V23"
159,"V6,V44"
160,"V6,V46"
161,"V6,V49"
162,"V6,V50"
163,"V6,V55"
164,"V6,V58"
165,"V6,V133"
166,"V6,V139"
167,"V6,V142"
168,"V6,V76"
169,"V6,V83"
170,"V6,V85"
171,"V6,V87"
172,"V6,V100"
173,"V6,V105"
174,"V6,V108"
175,"V6,V112"
176,"V6,V120"
177,"V6,V124"
178,"V6,V125"
179,"V7,V9"
180,"V7,V15"
181,"V7,V16"
182,"V7,V19"
183,"V7,V20"
184,"V7,V21"
185,"V7,V23"
186,"V7,V128"
187,"V7,V130"
188,"V7,V131"
189,"V7,V133"
190,"V7,V138"
191,"V7,V87"
192,"V7,V92"
193,"V7,V94"
194,"V7,V95"
195,"V7,V96"
196,"V7,V100"
197,"V7,V102"
198,"V7,V105"
199,"V7,V108"
200,"V7,V115"
201,"V7,V122"
202,"V7,V126"
203,"V8,V10"
204,"V8,V11"
205,"V8,V13"
206,"V8,V14"
207,"V8,V20"
208,"V8,V21"
209,"V8,V31"
210,"V8,V37"
211,"V8,V59"
212,"V8,V61"
213,"V8,V66"
214,"V8,V69"
215,"V8,V74"
216,"V8,V142"
217,"V8,V147"
218,"V8,V149"
219,"V8,V79"
220,"V8,V88"
221,"V8,V92"
222,"V8,V102"
223,"V8,V105"
224,"V8,V122"
225,"V8,V127"
226,"V9,V13"
227,"V9,V17"
228,"V9,V18"
229,"V9,V21"
230,"V9,V22"
231,"V9,V50"
232,"V9,V55"
233,"V9,V130"
234,"V9,V147"
235,"V9,V149"
236,"V9,V83"
237,"V9,V87"
238,"V9,V101"
239,"V9,V106"
240,"V9,V113"
241,"V9,V119"
242,"V9,V121"
243,"V9,V126"
244,"V10,V13"
245,"V10,V19"
246,"V10,V21"
247,"V10,V23"
248,"V10,V49"
249,"V10,V52"
250,"V10,V55"
251,"V10,V128"
252,"V10,V129"
253,"V10,V136"
254,"V10,V148"
255,"V10,V91"
256,"V10,V94"
257,"V10,V95"
258,"V10,V100"
259,"V10,V102"
260,"V10,V104"
261,"V10,V106"
262,"V10,V108"
263,"V10,V109"
264,"V10,V117"
265,"V11,V13"
266,"V11,V21"
267,"V11,V22"
268,"V11,V35"
269,"V11,V39"
270,"V11,V55"
271,"V11,V135"
272,"V11,V144"
273,"V11,V79"
274,"V11,V81"
275,"V11,V84"
276,"V11,V91"
277,"V11,V93"
278,"V11,V95"
279,"V11,V103"
280,"V11,V106"
281,"V11,V108"
282,"V11,V118"
283,"V11,V119"
284,"V11,V120"
285,"V12,V15"
286,"V12,V19"
287,"V12,V21"
288,"V12,V22"
289,"V12,V29"
290,"V12,V34"
291,"V12,V63"
292,"V12,V130"
293,"V12,V147"
294,"V12,V78"
295,"V12,V80"
296,"V12,V81"
297,"V12,V86"
298,"V12,V88"
299,"V12,V100"
300,"V12,V102"
301,"V12,V105"
302,"V12,V116"
303,"V12,V118"
304,"V12,V119"
305,"V12,V122"
306,"V13,V14"
307,"V13,V15"
308,"V13,V17"
309,"V13,V24"
310,"V13,V132"
311,"V13,V133"
312,"V13,V135"
313,"V13,V140"
314,"V13,V144"
315,"V13,V149"
316,"V13,V78"
317,"V13,V83"
318,"V13,V84"
319,"V13,V85"
320,"V13,V96"
321,"V13,V97"
