,edge_list
0,"V0,V2"
1,"V0,V4"
2,"V0,V8"
3,"V0,V10"
4,"V0,V11"
5,"V0,V13"
6,"V0,V14"
7,"V0,V17"
8,"V0,V20"
9,"V0,V24"
10,"V0,V27"
11,"V0,V28"
12,"V0,V42"
13,"V0,V43"
14,"V0,V45"
15,"V0,V46"
16,"V0,V47"
17,"V0,V55"
18,"V0,V61"
19,"V0,V129"
20,"V0,V147"
21,"V0,V119"
22,"V1,V4"
23,"V1,V9"
24,"V1,V11"
25,"V1,V19"
26,"V1,V20"
27,"V1,V23"
28,"V1,V32"
29,"V1,V38"
30,"V1,V41"
31,"V1,V42"
32,"V1,V43"
33,"V1,V47"
34,"V1,V52"
35,"V1,V54"
36,"V1,V66"
37,"V1,V145"
38,"V1,V149"
39,"V2,V6"
40,"V2,V12"
41,"V2,V19"
42,"V2,V25"
43,"V2,V30"
44,"V2,V32"
45,"V2,V37"
46,"V2,V40"
47,"V2,V42"
48,"V2,V45"
49,"V2,V50"
50,"V2,V60"
51,"V2,V63"
52,"V2,V73"
53,"V2,V133"
54,"V2,V107"
55,"V2,V119"
56,"V3,V5"
57,"V3,V8"
58,"V3,V14"
59,"V3,V15"
60,"V3,V18"
61,"V3,V19"
62,"V3,V20"
63,"V3,V22"
64,"V3,V25"
65,"V3,V26"
66,"V3,V28"
67,"V3,V29"
68,"V3,V35"
69,"V3,V36"
70,"V3,V43"
71,"V3,V47"
72,"V3,V48"
73,"V3,V130"
74,"V3,V75"
75,"V3,V85"
76,"V3,V100"
77,"V3,V119"
78,"V4,V7"
79,"V4,V12"
80,"V4,V18"
81,"V4,V20"
82,"V4,V22"
83,"V4,V33"
84,"V4,V39"
85,"V4,V43"
86,"V4,V45"
87,"V4,V46"
88,"V4,V49"
89,"V4,V60"
90,"V4,V76"
91,"V4,V98"
92,"V5,V6"
93,"V5,V8"
94,"V5,V15"
95,"V5,V17"
96,"V5,V23"
97,"V5,V27"
98,"V5,V28"
99,"V5,V34"
100,"V5,V40"
101,"V5,V45"
102,"V5,V46"
103,"V5,V47"
104,"V5,V141"
105,"V5,V117"
106,"V6,V9"
107,"V6,V15"
108,"V6,V18"
109,"V6,V25"
110,"V6,V26"
111,"V6,V32"
112,"V6,V33"
113,"V6,V39"
114,"V6,V40"
115,"V6,V41"
116,"V6,V46"
117,"V6,V63"
118,"V6,V93"
119,"V7,V10"
120,"V7,V19"
121,"V7,V22"
122,"V7,V27"
123,"V7,V28"
124,"V7,V29"
125,"V7,V39"
126,"V7,V41"
127,"V7,V44"
128,"V7,V54"
129,"V7,V103"
130,"V8,V13"
131,"V8,V20"
132,"V8,V31"
133,"V8,V39"
134,"V8,V46"
135,"V8,V53"
136,"V8,V105"
137,"V8,V108"
138,"V9,V10"
139,"V9,V11"
140,"V9,V18"
141,"V9,V19"
142,"V9,V20"
143,"V9,V21"
144,"V9,V24"
145,"V9,V27"
146,"V9,V30"
147,"V9,V32"
148,"V9,V35"
149,"V9,V37"
150,"V9,V40"
151,"V9,V41"
152,"V9,V54"
153,"V9,V144"
154,"V10,V20"
155,"V10,V26"
156,"V10,V31"
157,"V10,V32"
158,"V10,V35"
159,"V10,V39"
160,"V10,V47"
161,"V10,V143"
162,"V11,V18"
163,"V11,V19"
164,"V11,V21"
165,"V11,V25"
166,"V11,V27"
167,"V11,V29"
168,"V11,V32"
169,"V11,V34"
170,"V11,V36"
171,"V11,V38"
172,"V11,V45"
173,"V11,V46"
174,"V11,V61"
175,"V11,V92"
176,"V12,V18"
177,"V12,V19"
178,"V12,V20"
179,"V12,V21"
180,"V12,V24"
181,"V12,V27"
182,"V12,V30"
183,"V12,V33"
184,"V12,V34"
185,"V12,V40"
186,"V12,V43"
187,"V12,V47"
188,"V12,V50"
189,"V12,V73"
190,"V13,V21"
191,"V13,V38"
192,"V13,V40"
193,"V13,V44"
194,"V13,V46"
195,"V13,V47"
196,"V13,V64"
197,"V13,V144"
198,"V13,V78"
199,"V14,V18"
200,"V14,V20"
201,"V14,V28"
202,"V14,V29"
203,"V14,V41"
204,"V14,V42"
205,"V14,V43"
206,"V14,V46"
207,"V14,V47"
208,"V14,V117"
209,"V15,V19"
210,"V15,V20"
211,"V15,V21"
212,"V15,V22"
213,"V15,V23"
214,"V15,V29"
215,"V15,V36"
216,"V15,V37"
217,"V15,V42"
218,"V15,V44"
219,"V15,V45"
220,"V15,V49"
221,"V15,V70"
222,"V15,V74"
223,"V15,V130"
224,"V15,V139"
225,"V15,V146"
226,"V16,V20"
227,"V16,V31"
228,"V16,V32"
229,"V16,V34"
230,"V16,V35"
231,"V16,V36"
232,"V16,V37"
233,"V16,V41"
234,"V17,V24"
235,"V17,V25"
236,"V17,V30"
237,"V17,V36"
238,"V17,V37"
239,"V17,V41"
240,"V17,V49"
241,"V17,V84"
242,"V18,V23"
243,"V18,V27"
244,"V18,V48"
245,"V18,V50"
246,"V18,V53"
247,"V18,V57"
248,"V18,V67"
249,"V18,V138"
250,"V18,V77"
251,"V19,V23"
252,"V19,V28"
253,"V19,V31"
254,"V19,V32"
255,"V19,V35"
256,"V19,V39"
257,"V19,V47"
258,"V19,V56"
259,"V19,V72"
260,"V19,V103"
261,"V20,V36"
262,"V20,V43"
263,"V20,V46"
264,"V20,V48"
265,"V20,V59"
266,"V20,V64"
267,"V20,V67"
268,"V20,V77"
269,"V21,V29"
270,"V21,V40"
271,"V21,V58"
272,"V21,V63"
273,"V21,V72"
274,"V21,V93"
275,"V21,V103"
276,"V21,V116"
277,"V21,V127"
278,"V22,V27"
279,"V22,V28"
280,"V22,V34"
281,"V22,V40"
282,"V22,V44"
283,"V22,V48"
284,"V22,V49"
285,"V22,V70"
286,"V23,V26"
287,"V23,V28"
288,"V23,V32"
289,"V23,V36"
290,"V23,V44"
291,"V23,V47"
292,"V23,V60"
293,"V23,V142"
294,"V23,V108"
295,"V24,V33"
296,"V24,V72"
297,"V24,V78"
298,"V24,V98"
299,"V25,V30"
300,"V25,V33"
301,"V25,V34"
302,"V25,V46"
303,"V25,V48"
304,"V25,V95"
305,"V26,V34"
306,"V26,V42"
307,"V26,V43"
308,"V26,V44"
309,"V26,V48"
310,"V26,V49"
311,"V26,V136"
312,"V26,V124"
313,"V27,V32"
314,"V27,V36"
315,"V27,V38"
316,"V27,V45"
317,"V27,V47"
318,"V27,V52"
319,"V27,V139"
320,"V27,V104"
321,"V28,V30"
322,"V28,V35"
323,"V28,V41"
324,"V28,V42"
325,"V28,V48"
326,"V28,V72"
327,"V28,V136"
328,"V28,V120"
329,"V29,V30"
330,"V29,V31"
331,"V29,V33"
332,"V29,V35"
333,"V29,V36"
334,"V29,V39"
335,"V29,V41"
336,"V29,V43"
337,"V29,V44"
338,"V29,V46"
339,"V29,V48"
340,"V29,V49"
341,"V29,V50"
